,,,,
1480,1480,1520,1520,1480
245,285,285,245,245
,,,,
3475,3435,3435,3475,
330,330,315,315,
,,,,
3475,3435,3435,3475,
390,390,375,375,
,,,,
3355,3355,3395,3395,3355
410,450,450,410,410
,,,,
3285,3315,3315,3285,
450,450,435,435,
,,,,
3285,3315,3315,3285,
510,510,495,495,
,,,,
3375,3375,3415,3415,3375
535,575,575,535,535
,,,,
3885,4185,,,
525,525,,,
,,,,
5265,5265,5355,5355,5265
570,585,585,570,570
,,,,
5385,5385,5475,5475,5385
450,465,465,450,450
,,,,
5385,5385,5475,5475,5385
690,705,705,690,690
,,,,
5505,5505,5595,5595,5505
570,585,585,570,570
,,,,
5610,5610,5700,5700,5610
540,555,555,540,540
,,,,
5730,5730,5820,5820,5730
420,435,435,420,420
,,,,
5730,5730,5820,5820,5730
660,675,675,660,660
,,,,
5850,5850,5940,5940,5850
540,555,555,540,540
,,,,
5910,5910,6000,6000,5910
660,675,675,660,660
,,,,
6030,6030,6120,6120,6030
540,555,555,540,540
,,,,
6030,6030,6120,6120,6030
780,795,795,780,780
,,,,
6150,6150,6240,6240,6150
660,675,675,660,660
,,,,
6285,6255,6255,6285,
600,600,585,585,
,,,,
6285,6255,6255,6285,6285
660,660,645,645,660
,,,,
8295,8295,,,
780,705,,,
,,,,
8325,8325,,,
780,705,,,
,,,,
9975,10215,,,
705,705,,,
